plazoOperacion,montoCuotaOperacion,ingresosCliente,montoOperacion,gastosCliente,valorVehiculo,numeroCuotasInicioOperacion,edadCliente,codigoProvinciaCliente_10,codigoProvinciaCliente_9,codigoProvinciaCliente_otro,marcaVehiculo_Chery,marcaVehiculo_Chevrolet,marcaVehiculo_DFSK,marcaVehiculo_Hyundai,marcaVehiculo_otro,tipoResidenciaCliente_A,tipoResidenciaCliente_F,tipoResidenciaCliente_otro,claseVehiculo_Camion,codigoNivelEstudiosCliente_P,Es_Bueno
1308,306.97,1200.0,8195.49,475.79944868128257,13390.0,48,62,0,0,1,0,1,0,0,0,0,0,1,0,0,SI
1469,376.73,350.0,10779.4,70.0,14050.0,48,43,0,0,1,0,1,0,0,0,1,0,0,0,0,NO
719,532.35,2600.0,15023.4,475.79944868128257,18990.0,48,33,0,0,1,0,1,0,0,0,0,1,0,0,0,SI
730,984.93,3800.0,16435.41,1230.0,30000.0,24,38,0,0,1,0,0,0,0,1,0,1,0,0,0,SI
1836,449.215,1000.0,13329.04,475.79944868128257,21490.0,60,31,0,0,1,0,0,0,0,1,0,1,0,0,1,NO
342,664.93,2500.0,17115.6,300.0,25990.0,48,48,1,0,0,0,0,0,0,1,0,1,0,0,0,SI
1461,669.43,1500.0,18483.36,500.0,25800.0,48,68,0,0,1,0,0,0,0,1,0,0,1,0,0,NO
1028,396.45,2000.0,10162.6,630.0,13990.0,48,42,1,0,0,0,0,0,0,1,1,0,0,0,0,SI
1841,472.615,3502.073231534092,15927.98,376.05,20669.84,60,59,0,1,0,0,0,0,1,0,0,0,1,0,1,SI
1206,637.12,4709.0,21232.94,831.868553503788,27807.34,59,41,0,0,1,0,0,0,1,0,1,0,0,0,0,SI
1856,715.125,840.0,18710.8,200.0,26400.0,60,59,0,0,1,0,1,0,0,0,0,1,0,0,0,NO
1846,436.035,2512.423058468384,12725.41,1035.54,16490.01,60,54,0,1,0,0,0,0,0,1,1,0,0,0,0,NO
702,281.49,1000.0,6807.85,475.79944868128257,16449.45,46,54,0,0,1,0,1,0,0,0,0,0,1,0,0,SI
